clip_id,model,stem,start_sec,end_sec,source_path,output_path
500_miles_42_50,mix,mixture,42.0,50.0,/private/MusicSep/transsion/test_transsion/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a.wav,/private/users/baowenxin/compare/500_miles_42_50/00_mix.wav
500_miles_42_50,ours,vocals,42.0,50.0,/private/users/baowenxin/restore/conformer/transsion999/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/01_ours_vocals.wav
500_miles_42_50,ours,acc,42.0,50.0,/private/users/baowenxin/restore/conformer/transsion999/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/01_ours_acc.wav
500_miles_42_50,Apollo,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/Apollo/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/Apollo_vocals.wav
500_miles_42_50,Apollo,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/Apollo/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/Apollo_acc.wav
500_miles_42_50,BandIt_BSRNN,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/BandIt_BSRNN/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/BandIt_BSRNN_vocals.wav
500_miles_42_50,BandIt_BSRNN,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/BandIt_BSRNN/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/BandIt_BSRNN_acc.wav
500_miles_42_50,demucs,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/demucs/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/demucs_vocals.wav
500_miles_42_50,demucs,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/demucs/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/demucs_acc.wav
500_miles_42_50,DTTNet,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/DTTNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/DTTNet_vocals.wav
500_miles_42_50,DTTNet,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/DTTNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/DTTNet_acc.wav
500_miles_42_50,MDX23C_TFC_TDF_UNet,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/MDX23C_TFC_TDF_UNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/MDX23C_TFC_TDF_UNet_vocals.wav
500_miles_42_50,MDX23C_TFC_TDF_UNet,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/MDX23C_TFC_TDF_UNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/MDX23C_TFC_TDF_UNet_acc.wav
500_miles_42_50,SCNet,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/SCNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/SCNet_vocals.wav
500_miles_42_50,SCNet,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/SCNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/SCNet_acc.wav
500_miles_42_50,streaming_Apollo,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_Apollo/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_Apollo_vocals.wav
500_miles_42_50,streaming_Apollo,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_Apollo/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_Apollo_acc.wav
500_miles_42_50,streaming_BandIt_BSRNN,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_BandIt_BSRNN/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_BandIt_BSRNN_vocals.wav
500_miles_42_50,streaming_BandIt_BSRNN,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_BandIt_BSRNN/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_BandIt_BSRNN_acc.wav
500_miles_42_50,streaming_demucs,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_demucs/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_demucs_vocals.wav
500_miles_42_50,streaming_demucs,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_demucs/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_demucs_acc.wav
500_miles_42_50,streaming_DTTNet,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_DTTNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_DTTNet_vocals.wav
500_miles_42_50,streaming_DTTNet,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_DTTNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_DTTNet_acc.wav
500_miles_42_50,streaming_MDX23C_TFC_TDF_UNet,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_MDX23C_TFC_TDF_UNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_MDX23C_TFC_TDF_UNet_vocals.wav
500_miles_42_50,streaming_MDX23C_TFC_TDF_UNet,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_MDX23C_TFC_TDF_UNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_MDX23C_TFC_TDF_UNet_acc.wav
500_miles_42_50,streaming_SCNet,vocals,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_SCNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_SCNet_vocals.wav
500_miles_42_50,streaming_SCNet,acc,42.0,50.0,/private/users/baowenxin/流式/transsion_outputs/streaming_SCNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_42_50/streaming_SCNet_acc.wav
500_miles_90_100,mix,mixture,90.0,100.0,/private/MusicSep/transsion/test_transsion/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a.wav,/private/users/baowenxin/compare/500_miles_90_100/00_mix.wav
500_miles_90_100,ours,vocals,90.0,100.0,/private/users/baowenxin/restore/conformer/transsion999/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/01_ours_vocals.wav
500_miles_90_100,ours,acc,90.0,100.0,/private/users/baowenxin/restore/conformer/transsion999/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/01_ours_acc.wav
500_miles_90_100,Apollo,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/Apollo/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/Apollo_vocals.wav
500_miles_90_100,Apollo,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/Apollo/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/Apollo_acc.wav
500_miles_90_100,BandIt_BSRNN,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/BandIt_BSRNN/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/BandIt_BSRNN_vocals.wav
500_miles_90_100,BandIt_BSRNN,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/BandIt_BSRNN/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/BandIt_BSRNN_acc.wav
500_miles_90_100,demucs,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/demucs/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/demucs_vocals.wav
500_miles_90_100,demucs,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/demucs/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/demucs_acc.wav
500_miles_90_100,DTTNet,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/DTTNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/DTTNet_vocals.wav
500_miles_90_100,DTTNet,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/DTTNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/DTTNet_acc.wav
500_miles_90_100,MDX23C_TFC_TDF_UNet,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/MDX23C_TFC_TDF_UNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/MDX23C_TFC_TDF_UNet_vocals.wav
500_miles_90_100,MDX23C_TFC_TDF_UNet,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/MDX23C_TFC_TDF_UNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/MDX23C_TFC_TDF_UNet_acc.wav
500_miles_90_100,SCNet,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/SCNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/SCNet_vocals.wav
500_miles_90_100,SCNet,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/SCNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/SCNet_acc.wav
500_miles_90_100,streaming_Apollo,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_Apollo/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_Apollo_vocals.wav
500_miles_90_100,streaming_Apollo,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_Apollo/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_Apollo_acc.wav
500_miles_90_100,streaming_BandIt_BSRNN,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_BandIt_BSRNN/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_BandIt_BSRNN_vocals.wav
500_miles_90_100,streaming_BandIt_BSRNN,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_BandIt_BSRNN/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_BandIt_BSRNN_acc.wav
500_miles_90_100,streaming_demucs,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_demucs/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_demucs_vocals.wav
500_miles_90_100,streaming_demucs,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_demucs/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_demucs_acc.wav
500_miles_90_100,streaming_DTTNet,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_DTTNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_DTTNet_vocals.wav
500_miles_90_100,streaming_DTTNet,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_DTTNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_DTTNet_acc.wav
500_miles_90_100,streaming_MDX23C_TFC_TDF_UNet,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_MDX23C_TFC_TDF_UNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_MDX23C_TFC_TDF_UNet_vocals.wav
500_miles_90_100,streaming_MDX23C_TFC_TDF_UNet,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_MDX23C_TFC_TDF_UNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_MDX23C_TFC_TDF_UNet_acc.wav
500_miles_90_100,streaming_SCNet,vocals,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_SCNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/vocals.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_SCNet_vocals.wav
500_miles_90_100,streaming_SCNet,acc,90.0,100.0,/private/users/baowenxin/流式/transsion_outputs/streaming_SCNet/country/500 Miles - Inside Llewyn Davis [HAZJAzCshN4]m4a/acc.wav,/private/users/baowenxin/compare/500_miles_90_100/streaming_SCNet_acc.wav
